PING 202.112.35.231 (202.112.35.231) 56(84) bytes of data.
64 bytes from 202.112.35.231: icmp_seq=66 ttl=61 time=245 ms
64 bytes from 202.112.35.231: icmp_seq=67 ttl=61 time=35.1 ms
64 bytes from 202.112.35.231: icmp_seq=68 ttl=61 time=46.0 ms
64 bytes from 202.112.35.231: icmp_seq=69 ttl=61 time=6.45 ms
64 bytes from 202.112.35.231: icmp_seq=70 ttl=61 time=50.2 ms
64 bytes from 202.112.35.231: icmp_seq=71 ttl=61 time=7.62 ms
64 bytes from 202.112.35.231: icmp_seq=72 ttl=61 time=48.7 ms
64 bytes from 202.112.35.231: icmp_seq=73 ttl=61 time=29.1 ms
64 bytes from 202.112.35.231: icmp_seq=74 ttl=61 time=46.5 ms
64 bytes from 202.112.35.231: icmp_seq=75 ttl=61 time=10.1 ms
64 bytes from 202.112.35.231: icmp_seq=76 ttl=61 time=53.3 ms
64 bytes from 202.112.35.231: icmp_seq=77 ttl=61 time=25.9 ms
64 bytes from 202.112.35.231: icmp_seq=78 ttl=61 time=54.8 ms
64 bytes from 202.112.35.231: icmp_seq=79 ttl=61 time=19.2 ms
64 bytes from 202.112.35.231: icmp_seq=80 ttl=61 time=80.6 ms
64 bytes from 202.112.35.231: icmp_seq=81 ttl=61 time=21.8 ms
64 bytes from 202.112.35.231: icmp_seq=82 ttl=61 time=67.5 ms
64 bytes from 202.112.35.231: icmp_seq=83 ttl=61 time=5.96 ms
64 bytes from 202.112.35.231: icmp_seq=84 ttl=61 time=59.1 ms
64 bytes from 202.112.35.231: icmp_seq=85 ttl=61 time=38.3 ms
64 bytes from 202.112.35.231: icmp_seq=86 ttl=61 time=8.53 ms
64 bytes from 202.112.35.231: icmp_seq=87 ttl=61 time=24.4 ms
64 bytes from 202.112.35.231: icmp_seq=88 ttl=61 time=13.6 ms
64 bytes from 202.112.35.231: icmp_seq=89 ttl=61 time=12.0 ms
64 bytes from 202.112.35.231: icmp_seq=90 ttl=61 time=11.6 ms
64 bytes from 202.112.35.231: icmp_seq=91 ttl=61 time=18.0 ms
64 bytes from 202.112.35.231: icmp_seq=92 ttl=61 time=6.37 ms
64 bytes from 202.112.35.231: icmp_seq=93 ttl=61 time=6.73 ms
64 bytes from 202.112.35.231: icmp_seq=94 ttl=61 time=54.7 ms
64 bytes from 202.112.35.231: icmp_seq=95 ttl=61 time=9.94 ms
64 bytes from 202.112.35.231: icmp_seq=96 ttl=61 time=21.5 ms
64 bytes from 202.112.35.231: icmp_seq=97 ttl=61 time=7.76 ms
64 bytes from 202.112.35.231: icmp_seq=98 ttl=61 time=142 ms
64 bytes from 202.112.35.231: icmp_seq=99 ttl=61 time=28.9 ms
64 bytes from 202.112.35.231: icmp_seq=100 ttl=61 time=23.4 ms
64 bytes from 202.112.35.231: icmp_seq=101 ttl=61 time=30.3 ms
64 bytes from 202.112.35.231: icmp_seq=102 ttl=61 time=18.4 ms
64 bytes from 202.112.35.231: icmp_seq=103 ttl=61 time=6.34 ms
64 bytes from 202.112.35.231: icmp_seq=104 ttl=61 time=9.19 ms
64 bytes from 202.112.35.231: icmp_seq=105 ttl=61 time=55.0 ms
64 bytes from 202.112.35.231: icmp_seq=106 ttl=61 time=17.5 ms
64 bytes from 202.112.35.231: icmp_seq=107 ttl=61 time=19.6 ms
64 bytes from 202.112.35.231: icmp_seq=108 ttl=61 time=41.3 ms
64 bytes from 202.112.35.231: icmp_seq=109 ttl=61 time=13.4 ms
64 bytes from 202.112.35.231: icmp_seq=110 ttl=61 time=1117 ms
64 bytes from 202.112.35.231: icmp_seq=111 ttl=61 time=118 ms
64 bytes from 202.112.35.231: icmp_seq=112 ttl=61 time=11.6 ms
64 bytes from 202.112.35.231: icmp_seq=113 ttl=61 time=36.8 ms
64 bytes from 202.112.35.231: icmp_seq=114 ttl=61 time=33.2 ms
64 bytes from 202.112.35.231: icmp_seq=115 ttl=61 time=4.60 ms
64 bytes from 202.112.35.231: icmp_seq=116 ttl=61 time=26.5 ms
64 bytes from 202.112.35.231: icmp_seq=117 ttl=61 time=47.4 ms
64 bytes from 202.112.35.231: icmp_seq=118 ttl=61 time=84.6 ms
64 bytes from 202.112.35.231: icmp_seq=119 ttl=61 time=36.9 ms
64 bytes from 202.112.35.231: icmp_seq=120 ttl=61 time=18.6 ms
64 bytes from 202.112.35.231: icmp_seq=121 ttl=61 time=19.5 ms
64 bytes from 202.112.35.231: icmp_seq=122 ttl=61 time=67.4 ms
64 bytes from 202.112.35.231: icmp_seq=123 ttl=61 time=42.6 ms
64 bytes from 202.112.35.231: icmp_seq=124 ttl=61 time=216 ms
64 bytes from 202.112.35.231: icmp_seq=125 ttl=61 time=23.0 ms
64 bytes from 202.112.35.231: icmp_seq=126 ttl=61 time=8.23 ms
64 bytes from 202.112.35.231: icmp_seq=127 ttl=61 time=53.3 ms
64 bytes from 202.112.35.231: icmp_seq=128 ttl=61 time=80.0 ms
