PING 202.112.35.231 (202.112.35.231) 56(84) bytes of data.
64 bytes from 202.112.35.231: icmp_seq=187 ttl=61 time=6.25 ms
64 bytes from 202.112.35.231: icmp_seq=188 ttl=61 time=6.21 ms
64 bytes from 202.112.35.231: icmp_seq=189 ttl=61 time=10.3 ms
64 bytes from 202.112.35.231: icmp_seq=190 ttl=61 time=7.00 ms
64 bytes from 202.112.35.231: icmp_seq=191 ttl=61 time=6.19 ms
64 bytes from 202.112.35.231: icmp_seq=192 ttl=61 time=7.04 ms
64 bytes from 202.112.35.231: icmp_seq=193 ttl=61 time=6.33 ms
64 bytes from 202.112.35.231: icmp_seq=194 ttl=61 time=6.37 ms
64 bytes from 202.112.35.231: icmp_seq=195 ttl=61 time=6.26 ms
64 bytes from 202.112.35.231: icmp_seq=196 ttl=61 time=6.22 ms
64 bytes from 202.112.35.231: icmp_seq=197 ttl=61 time=6.20 ms
64 bytes from 202.112.35.231: icmp_seq=198 ttl=61 time=7.93 ms
64 bytes from 202.112.35.231: icmp_seq=199 ttl=61 time=8.01 ms
64 bytes from 202.112.35.231: icmp_seq=200 ttl=61 time=6.43 ms
64 bytes from 202.112.35.231: icmp_seq=201 ttl=61 time=7.08 ms
64 bytes from 202.112.35.231: icmp_seq=202 ttl=61 time=9.52 ms
64 bytes from 202.112.35.231: icmp_seq=203 ttl=61 time=6.19 ms
64 bytes from 202.112.35.231: icmp_seq=204 ttl=61 time=6.22 ms
64 bytes from 202.112.35.231: icmp_seq=205 ttl=61 time=6.18 ms
64 bytes from 202.112.35.231: icmp_seq=206 ttl=61 time=1088 ms
64 bytes from 202.112.35.231: icmp_seq=207 ttl=61 time=88.7 ms
64 bytes from 202.112.35.231: icmp_seq=208 ttl=61 time=6.16 ms
64 bytes from 202.112.35.231: icmp_seq=209 ttl=61 time=7.31 ms
64 bytes from 202.112.35.231: icmp_seq=210 ttl=61 time=7.89 ms
64 bytes from 202.112.35.231: icmp_seq=211 ttl=61 time=9.39 ms
64 bytes from 202.112.35.231: icmp_seq=212 ttl=61 time=6.59 ms
64 bytes from 202.112.35.231: icmp_seq=213 ttl=61 time=6.26 ms
64 bytes from 202.112.35.231: icmp_seq=214 ttl=61 time=6.20 ms
64 bytes from 202.112.35.231: icmp_seq=215 ttl=61 time=6.23 ms
64 bytes from 202.112.35.231: icmp_seq=216 ttl=61 time=6.43 ms
64 bytes from 202.112.35.231: icmp_seq=217 ttl=61 time=6.28 ms
64 bytes from 202.112.35.231: icmp_seq=218 ttl=61 time=6.25 ms

--- 202.112.35.231 ping statistics ---
218 packets transmitted, 218 received, 0% packet loss, time 217338ms
rtt min/avg/max/mdev = 3.826/33.775/1373.920/167.955 ms, pipe 2
